% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 18 2023. 15:13
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.10032845549543412+1.159285649158364E-5j
0.012638482029342977                              0.10032864725813882+1.4645015104005386E-5j
0.01597312280060254                               0.10032895322372694+1.8495775541948642E-5j
0.02018760254679039                               0.10032944103689569+2.3349051390914334E-5j
0.025514065200312887                              0.10033021803237045+2.9455707460950955E-5j
0.03224590545296395                               0.10033145329061129+3.711913455852381E-5j
0.040753929658717776                              0.10033341193315919+4.669570246501693E-5j
0.05150678076168125                               0.10033650397769563+5.85828024413645E-5j
0.0650967523045817                                0.10034135192321877+7.31807377106685E-5j
0.0822724134170047                                0.10034887146186393+9.080508708253032E-5j
0.103979841848149                                 0.1003603426559005+1.1151579164756721E-4j
0.13141473626117567                               0.1003774051933018+1.3483070906668819E-4j
0.1660882782627716                                0.10040185161613764+1.593374968926137E-4j
0.20991037201085547                               0.10043505698924826+1.823571609761886E-4j
0.26529484644318974                               0.10047701903740268+2.0003344638848365E-4j
0.3352924149249558                                0.10052542467703961+2.0828025341649548E-4j
0.4237587160604063                                0.10057562285875342+2.0448385248950866E-4j
0.5355666917706899                                0.10062203133108129+1.888924398923798E-4j
0.6768750009458534                                0.10066018327963884+1.6451396096838107E-4j
0.8554672535565685                                0.10068792982487465+1.3567439466974674E-4j
1.0811807510766078                                0.10070528702510656+1.0651530355428599E-4j
1.3664483492953259                                0.10071365708744431+8.029161385127707E-5j
1.726983290659436                                 0.10071524647409404+5.929060487927239E-5j
2.182644728397487                                 0.10071281675039723+4.478255642663745E-5j
2.7585316176291843                                0.10070936550683807+3.677257076791244E-5j
3.4863652276780877                                0.10070745086641134+3.388575345233895E-5j
4.406236427773573                                 0.10070842369709225+3.380406873171388E-5j
5.568813990945273                                 0.1007121134384766+3.420183230231358E-5j
7.038135554931562                                 0.10071725549653318+3.367000507948567E-5j
8.895134973108236                                 0.10072243071251998+3.205457144736099E-5j
11.242100350620873                                0.10072688176342863+3.0010724234782472E-5j
14.208308325339223                                0.10073064913130429+2.8203542112607735E-5j
17.957144943716408                                0.10073410587069707+2.6851445504986977E-5j
22.695105366946706                                0.10073749649084124+2.584333452018516E-5j
28.683168133420118                                0.1007408662203695+2.5041579502366212E-5j
36.251170499885355                                0.10074420435597974+2.4383738819386072E-5j
45.81597669054491                                 0.10074750508859212+2.3832916209043E-5j
57.90443980602489                                 0.10075074867822206+2.33594098134973E-5j
73.18242219076181                                 0.1007539002698337+2.2960046535202955E-5j
92.49147277217335                                 0.10075693176109586+2.2662475554112254E-5j
116.89518164985776                                0.1007598357655101+2.2509312481607763E-5j
147.73776525985127                                0.1007626181546349+2.253856775648812E-5j
186.71810912919207                                0.10076527527543197+2.2780064235157038E-5j
235.98334667821936                                0.10076777509245591+2.3275446217302477E-5j
298.2471286216894                                 0.1007700602513166+2.4108316137289727E-5j
376.93909753883634                                0.10077206934871812+2.5423861670114055E-5j
476.39380104013406                                0.10077376019944076+2.7430346826482772E-5j
602.0894493336137                                 0.10077512295407451+3.03912864920066E-5j
760.9496685459883                                 0.10077618082148238+3.461878467286288E-5j
961.7248711152964                                 0.10077698521975918+4.0472354789618204E-5j
1215.4742500762884                                0.10077760387964703+4.8364941700895146E-5j
1536.1749466718297                                0.10077810520990257+5.8781077894791574E-5j
1941.4919457438816                                0.100778542165872+7.231049575748425E-5j
2453.751106639822                                 0.10077894536613613+8.969582864121434E-5j
3101.168926574782                                 0.1007793258868286+1.1188942312010854E-4j
3919.406774847221                                 0.10077968408947703+1.401154942393457E-4j
4953.53520895918                                  0.10078001852724258+1.7593891419397394E-4j
6260.516572014828                                 0.10078033314751808+2.213480683399334E-4j
7912.342618981326                                 0.10078063853583627+2.7886106205059967E-4j
10000                                             0.10078095389301273+3.5166336414058704E-4j
