% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 23 2023, 14:42
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.18959940069206707+7.271753266808798E-5j
0.012638482029342977                              0.18960018905251147+9.187957797259316E-5j
0.01597312280060254                               0.18960144970394202+1.1607274432047061E-4j
0.02018760254679039                               0.1896034581448245+1.4659939276284072E-4j
0.025514065200312887                              0.18960665930619752+1.8508019517863832E-4j
0.03224590545296395                               0.18961175151394868+2.3351293104185495E-4j
0.040753929658717776                              0.18961983329666793+2.9432235482111874E-4j
0.05150678076168125                               0.1896326120545367+3.703765757817622E-4j
0.0650967523045817                                0.18965269713313462+4.649218717404631E-4j
0.0822724134170047                                0.18968397633347842+5.81351279594216E-4j
0.103979841848149                                 0.18973200007271981+7.226808537957098E-4j
0.13141473626117567                               0.18980417257667412+8.906026423636617E-4j
0.1660882782627716                                0.1899093086710867+0.0010841307614628379j
0.20991037201085547                               0.19005601080794235+0.0012983332420058395j
0.26529484644318974                               0.19024976170290675+0.0015244192290758244j
0.3352924149249558                                0.19049019759712424+0.0017526634063995791j
0.4237587160604063                                0.19077180722341597+0.001977667115790756j
0.5355666917706899                                0.1910899025777071+0.002201703003848619j
0.6768750009458534                                0.1914484332460813+0.002431166783398396j
0.8554672535565685                                0.19186250078725037+0.0026664560841557594j
1.0811807510766078                                0.1923512871457049+0.0028917057752606244j
1.3664483492953259                                0.19292333223142416+0.003072337868690831j
1.726983290659436                                 0.1935620051624748+0.003165649666066845j
2.182644728397487                                 0.1942228913697836+0.0031418911209387746j
2.7585316176291843                                0.19484951925848645+0.003001998853385514j
3.4863652276780877                                0.19539759700625609+0.0027770321319026785j
4.406236427773573                                 0.19584905066514652+0.0025108197599999645j
5.568813990945273                                 0.1962090845265559+0.0022417603945196064j
7.038135554931562                                 0.19649508259450416+0.001994868758659725j
8.895134973108236                                 0.19672756872200736+0.0017823951548443457j
11.242100350620873                                0.19692549914968044+0.0016068210981813734j
14.208308325339223                                0.19710347770857625+0.0014637383746779178j
17.957144943716408                                0.19727009460343545+0.0013454410634582954j
22.695105366946706                                0.19742862204005168+0.0012448321004203777j
28.683168133420118                                0.19757985763450486+0.0011572937833328745j
36.251170499885355                                0.19772431012738634+0.0010799091068505364j
45.81597669054491                                 0.19786237945373497+0.0010102793353847783j
57.90443980602489                                 0.19799395810874265+9.465406098056915E-4j
73.18242219076181                                 0.19811881172865517+8.877179255680839E-4j
92.49147277217335                                 0.19823722386280646+8.333520769530709E-4j
116.89518164985776                                0.1983499355578933+7.827325365078803E-4j
147.73776525985127                                0.19845747386489096+7.345982004915266E-4j
186.71810912919207                                0.19855958655300054+6.875393677279836E-4j
235.98334667821936                                0.19865526046792306+6.406656333718059E-4j
298.2471286216894                                 0.19874317374590886+5.940056278797926E-4j
376.93909753883634                                0.1988222533364252+5.484874922013557E-4j
476.39380104013406                                0.19889202480877835+5.05666946115013E-4j
602.0894493336137                                 0.19895277293667554+4.673962061912437E-4j
760.9496685459883                                 0.19900556406999098+4.355038763757351E-4j
961.7248711152964                                 0.19905216990166658+4.114945669841589E-4j
1215.4742500762884                                0.19909489920682658+3.962662994756809E-4j
1536.1749466718297                                0.1991362674830785+3.898743461450456E-4j
1941.4919457438816                                0.19917851715655643+3.9145648542125103E-4j
2453.751106639822                                 0.19922306653538874+3.994656014776266E-4j
3101.168926574782                                 0.19927015615267815+4.1222366063627623E-4j
3919.406774847221                                 0.1993188386786661+4.286169009803294E-4j
4953.53520895918                                  0.19936733372926196+4.486748661867301E-4j
6260.516572014828                                 0.19941356406917501+4.738726468284925E-4j
7912.342618981326                                 0.19945568131669708+5.071535909114342E-4j
10000                                             0.19949242099034373+5.527498750143515E-4j
