% Model:              modelJ.mph
% Versjon:            COMSOL 6.0.0.405
% Date:               Aug 28 2023, 16:40
% Table:              Tabelle 1 - sjgma_eff ((dflux.u21-dflux.u22)*2*pj/(pj*L^2)/E0/(2*mu*c0))
% w                                               Normaljzed effectjve conductjvjty
0.01                                              0.12493625666929216+5.976997164377884E-5j
0.012638482029342977                              0.12493657985474117+7.553641726384949E-5j
0.01597312280060254                               0.12493709608845954+9.5458988856686E-5j
0.02018760254679039                               0.12493792028996276+1.206303790265148E-4j
0.025514065200312887                              0.12493923658874767+1.524276280948443E-4j
0.03224590545296395                               0.12494133774042501+1.9258311899009216E-4j
0.040753929658717776                              0.1249446910433432+2.4327024370037725E-4j
0.05150678076168125                               0.12495003992779724+3.0720349767585813E-4j
0.0650967523045817                                0.12495856500652515+3.877486788742493E-4j
0.0822724134170047                                0.12497213405290293+4.890298295167912E-4j
0.103979841848149                                 0.12499368717354631+6.16000927623977E-4j
0.13141473626117567                               0.12502780799026686+7.744141297928073E-4j
0.1660882782627716                                0.12508154293973442+9.705503531757569E-4j
0.20991037201085547                               0.1251654762127765+0.0012104695380542284j
0.26529484644318974                               0.12529491848345586+0.0014983918779218727j
0.3352924149249558                                0.12549070075501553+0.0018337185436718565j
0.4237587160604063                                0.1257783638512275+0.002206409637957053j
0.5355666917706899                                0.12618377754396445+0.0025915043620466627j
0.6768750009458534                                0.12672350684565234+0.0029459020549443397j
0.8554672535565685                                0.1273915271583824+0.003212806656431755j
1.0811807510766078                                0.12814992364031225+0.003337131781082438j
1.3664483492953259                                0.12893304851355286+0.0032861799712505793j
1.726983290659436                                 0.1296655323174844+0.003062666528039608j
2.182644728397487                                 0.13028327309001975+0.0027029196795241356j
2.7585316176291843                                0.130747202268855+0.0022646227462069287j
3.4863652276780877                                0.13104763346019657+0.0018119233807165527j
4.406236427773573                                 0.13120177998907337+0.0014026954306226658j
5.568813990945273                                 0.13124763420165617+0.0010790182744568816j
7.038135554931562                                 0.13123505704016292+8.601670465906231E-4j
8.895134973108236                                 0.13121329944292626+7.396820985496714E-4j
11.242100350620873                                0.13121745479954983+6.902056934115524E-4j
14.208308325339223                                0.13126027577738997+6.761750232281912E-4j
17.957144943716408                                0.13133404269450286+6.686859674620029E-4j
22.695105366946706                                0.13142147473561566+6.547272940532581E-4j
28.683168133420118                                0.1315087569319787+6.358533737229148E-4j
36.251170499885355                                0.13159187200686603+6.187942235804755E-4j
45.81597669054491                                 0.13167342169414098+6.069759587341269E-4j
57.90443980602489                                 0.13175614718793988+5.99376306805519E-4j
73.18242219076181                                 0.13184051252597342+5.940649960728429E-4j
92.49147277217335                                 0.1319263268611485+5.901046804682654E-4j
116.89518164985776                                0.13201382342975024+5.866957487642473E-4j
147.73776525985127                                0.1321030087309951+5.826060538984807E-4j
186.71810912919207                                0.13219329230073132+5.767515379420197E-4j
235.98334667821936                                0.13228398420425014+5.685335648033489E-4j
298.2471286216894                                 0.13237467941345837+5.574382325500478E-4j
376.93909753883634                                0.13246497155780132+5.425376328572629E-4j
476.39380104013406                                0.13255379141427012+5.225428856812384E-4j
602.0894493336137                                 0.13263903003796051+4.964852146663465E-4j
760.9496685459883                                 0.13271785087409016+4.6452709989489E-4j
961.7248711152964                                 0.13278751324173693+4.283033832588056E-4j
1215.4742500762884                                0.13284614535495995+3.9064742712439644E-4j
1536.1749466718297                                0.1328931322851943+3.550182716807843E-4j
1941.4919457438816                                0.13292918231005063+3.24910454062475E-4j
2453.751106639822                                 0.13295612441039975+3.033176098016819E-4j
3101.168926574782                                 0.13297645597975458+2.9234376231358625E-4j
3919.406774847221                                 0.13299269861997853+2.931270254768997E-4j
4953.53520895918                                  0.13300680315477048+3.0615267656696756E-4j
6260.516572014828                                 0.133019809201761+3.3186756703749797E-4j
7912.342618981326                                 0.1330319011678736+3.71367274699013E-4j
10000                                             0.13304277124260788+4.2690192997656704E-4j
