% Model:              quartz_bsm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 20 2023, 16:30
% Table:              Tabelle 3 - Punktauswertung 1
% pH                     zeta (1), Punkt: 2       SigS, Punkt: 2           fQ, Punkt: 2
5                        -0.02181407545259628     1.4372890809669072E-5    0.008621376183113283
5.1                      -0.024464908349457696    1.80433352101972E-5      0.009565428386681887
5.2                      -0.027249924262264264    2.264603302323689E-5     0.010667577100308034
5.3                      -0.030156049192398532    2.8416222000478964E-5    0.011951591975225589
5.4                      -0.033172362233253504    3.564784781333936E-5     0.013445725529397762
5.5                      -0.03628497929357325     4.4708252474157486E-5    0.015180603121524987
5.6                      -0.03948273866897754     5.6055913898705185E-5    0.01719222450046694
5.7                      -0.04275576485854045     7.026265039430697E-5     0.019522020752973643
5.8                      -0.046093219173516164    8.80412988662813E-5      0.022215686069608262
5.9                      -0.049486219000739115    1.102793040199165E-4     0.02532560128157276
6                        -0.05292581082358219     1.3808060800667867E-4    0.02890969044561441
6.1                      -0.05640687762911798     1.7281563186529416E-4    0.0330361847228159
6.2                      -0.05991993202886777     2.1618575528092066E-4    0.037774746367360126
6.3                      -0.06345951328810205     2.702969161933773E-4     0.043205987079407746
6.4                      -0.06701957088480669     3.3775268109017685E-4    0.049416075468716826
6.5                      -0.07059445280722051     4.217644919887136E-4     0.056497312953549705
6.6                      -0.07417936256276292     5.262829770174288E-4     0.06454833682587485
6.7                      -0.07777061801829917     6.56152535703206E-4      0.07367420657192075
6.8                      -0.08136497982039541     8.17292598797489E-4      0.08398391827592072
6.9                      -0.08495800363751413     0.0010169101340370406    0.0955828814037529
7                        -0.0885429641794307      0.001263745222642562     0.10856298768709557
7.1                      -0.09211391929302935     0.0015683315049742788    0.123006158215807
7.2                      -0.09566786549542877     0.0019432623739917177    0.13899053893754743
7.300000000000001        -0.09919967037597392     0.0024035020336728814    0.15656527890495014
7.4                      -0.10269921116575755     0.0029667194024347605    0.1757233339095451
7.5                      -0.10617436996944683     0.0036532487652260587    0.19652667861487264
7.6                      -0.10960680043464072     0.004486800685505211     0.21884905683361552
7.7                      -0.11299223681841367     0.0054940540731438095    0.24259858409365562
7.800000000000001        -0.11632475163116299     0.006704713282114167     0.2676305788522715
7.9                      -0.11959705291195856     0.008151213453806105     0.2937477037138319
8                        -0.12280115682814631     0.009868168441065063     0.3207074715711034
8.1                      -0.12592950654895738     0.011891509275521456     0.348238783779681
8.2                      -0.12897230068511423     0.014257616503649385     0.37602817005890055
8.3                      -0.1319260188642617      0.017001422530463477     0.40380983950832455
8.4                      -0.13478764013597982     0.020155238016765536     0.43132857092873345
8.5                      -0.13754555935384608     0.02374864696243218      0.4582595311333958
8.6                      -0.14019638779821292     0.027805655813130423     0.4843786574060051
8.7                      -0.1427384504712366      0.032344250428354766     0.5095083604041375
8.8                      -0.14517037780111394     0.037376112722900444     0.5335061323817907
8.9                      -0.14749156429287508     0.04290649498230397      0.5562689657133448
9                        -0.14970294862183087     0.04893430159380712      0.5777388691971738
